,chr,x1,x2
0,1,182910000,183230000
1,1,0,320000
2,1,233160000,233520000
3,1,102510000,102750000
4,1,345720000,346000000
5,1,265320000,265640000
6,1,217080000,217320000
7,1,0,280000
8,1,58290000,58720000
9,1,0,290000
10,1,349740000,350000000
11,1,182910000,183190000
12,1,0,220000
13,1,166830000,167010000
14,1,196980000,197290000
15,1,261300000,261600000
16,1,146730000,146960000
17,1,194970000,195160000
18,1,259290000,259610000
19,1,239190000,239400000
20,1,269340000,269550000
21,1,126630000,127050000
22,1,110550000,110970000
23,1,263310000,263550000
24,1,108540000,108980000
25,1,198990000,199460000
26,1,329640000,330000000
27,1,237180000,237470000
28,1,174870000,175180000
29,1,0,180000
30,1,355770000,356000000
31,1,166830000,167150000
32,1,104520000,104820000
33,1,263310000,263500000
34,1,211050000,211280000
35,1,194970000,195240000
36,1,257280000,257420000
37,1,122610000,122900000
38,1,261300000,261510000
39,1,337680000,338000000
40,1,184920000,185060000
41,1,0,210000
42,1,341700000,342000000
43,1,323610000,324000000
44,1,118590000,119140000
45,1,357780000,358000000
46,1,186930000,187210000
47,1,247230000,247400000
48,1,0,160000
49,1,215070000,215390000
50,1,0,500000
51,1,327630000,328000000
52,1,261300000,261530000
53,1,257280000,257520000
54,1,190950000,191270000
55,1,0,370000
56,1,76380000,76680000
57,1,190950000,191220000
58,1,0,220000
59,1,136680000,136980000
60,1,148740000,149220000
61,1,339690000,340000000
62,1,331650000,332000000
63,1,0,310000
64,1,184920000,185250000
65,1,335670000,336000000
66,1,122610000,123040000
67,1,0,400000
68,1,82410000,82690000
69,1,223110000,223290000
70,1,287430000,287530000
71,1,277380000,277960000
72,1,192960000,193100000
73,1,387930000,388000000
74,1,353760000,354000000
75,1,363810000,364000000
76,1,241200000,241470000
77,1,184920000,185140000
78,1,387930000,388000000
79,1,194970000,195180000
80,1,351750000,352000000
81,1,192960000,193120000
82,1,94470000,94790000
83,1,104520000,104760000
84,1,162810000,163020000
85,1,62310000,62560000
86,1,291450000,292000000
87,1,239190000,239380000
88,1,0,190000
89,1,385920000,386000000
90,1,198990000,199340000
91,1,168840000,169140000
92,1,231150000,231410000
