,chr,x1,x2
0,1,371850000,372000000
1,1,0,330000
2,1,68340000,68620000
3,1,203010000,203450000
4,1,0,290000
5,1,343710000,344000000
6,1,261300000,261640000
7,1,343710000,344000000
8,1,0,340000
9,1,70350000,70720000
10,1,371850000,372000000
11,1,349740000,350000000
12,1,182910000,183190000
13,1,168840000,169000000
14,1,259290000,259610000
15,1,196980000,197280000
16,1,146730000,146960000
17,1,194970000,195160000
18,1,209040000,209070000
19,1,168840000,169090000
20,1,112560000,112830000
21,1,239190000,239400000
22,1,257280000,257550000
23,1,126630000,127230000
24,1,383910000,384000000
25,1,263310000,263550000
26,1,102510000,102900000
27,1,247230000,247590000
28,1,237180000,237460000
29,1,98490000,98700000
30,1,335670000,336000000
31,1,106530000,106850000
32,1,259290000,259520000
33,1,211050000,211280000
34,1,192960000,193160000
35,1,257280000,257500000
36,1,124620000,124890000
37,1,259290000,259510000
38,1,112560000,112910000
39,1,118590000,118980000
40,1,235170000,235550000
41,1,339690000,340000000
42,1,269340000,269590000
43,1,0,580000
44,1,295470000,296000000
45,1,0,450000
46,1,349740000,350000000
47,1,0,170000
48,1,215070000,215350000
49,1,327630000,328000000
50,1,261300000,261630000
51,1,188940000,189280000
52,1,186930000,187310000
53,1,104520000,105000000
54,1,198990000,199450000
55,1,0,230000
56,1,118590000,118920000
57,1,343710000,344000000
58,1,247230000,247450000
59,1,116580000,117050000
60,1,0,320000
61,1,180900000,181250000
62,1,335670000,336000000
63,1,130650000,131090000
64,1,102510000,102660000
65,1,0,240000
66,1,190950000,191160000
67,1,369840000,370000000
68,1,255270000,255470000
69,1,184920000,185140000
70,1,182910000,183130000
71,1,0,110000
72,1,347730000,348000000
73,1,92460000,92790000
74,1,156780000,157060000
75,1,239190000,239520000
76,1,217080000,217320000
77,1,80400000,80700000
78,1,0,210000
79,1,144720000,144980000
80,1,0,290000
81,1,339690000,340000000
82,1,363810000,364000000
83,1,168840000,169130000
84,1,229140000,229400000
85,1,245220000,245600000
86,1,337680000,338000000
87,1,196980000,197330000
88,1,339690000,340000000
89,1,140700000,141030000
90,1,205020000,205410000
91,1,190950000,191290000
92,1,223110000,223460000
93,1,142710000,143090000
94,1,241200000,241480000
95,1,367830000,368000000
96,1,261300000,261490000
97,1,349740000,350000000
98,1,371850000,372000000
99,1,128640000,128790000
100,1,341700000,342000000
101,1,0,430000
102,1,84420000,84910000
103,1,249240000,249580000
104,1,196980000,197400000
105,1,126630000,126880000
106,1,323610000,324000000
107,1,329640000,330000000
108,1,279390000,279660000
109,1,279390000,280000000
110,1,333660000,334000000
111,1,253260000,253650000
112,1,0,250000
113,1,347730000,348000000
114,1,78390000,78690000
115,1,335670000,336000000
116,1,239190000,239490000
117,1,198990000,199270000
118,1,229140000,229520000
119,1,223110000,223230000
120,2,134670000,134930000
121,2,277380000,277700000
122,2,0,400000
123,2,82410000,82810000
124,2,184920000,185220000
125,2,255270000,255580000
126,2,116580000,116820000
127,2,0,500000
128,2,351750000,352000000
129,2,140700000,140940000
130,2,118590000,118960000
131,2,311550000,312000000
132,2,110550000,110840000
133,2,227130000,227570000
134,2,313560000,314000000
135,2,213060000,213430000
136,2,263310000,263590000
137,2,235170000,235440000
138,2,152760000,152970000
139,2,229140000,229430000
140,2,259290000,259580000
141,2,104520000,104960000
142,2,295470000,296000000
143,2,365820000,366000000
144,2,0,210000
145,2,0,210000
146,2,0,320000
147,2,285420000,286000000
148,2,102510000,102910000
149,2,0,190000
150,2,136680000,136940000
151,2,182910000,183400000
152,2,130650000,131020000
153,2,110550000,110790000
154,2,160800000,161120000
155,2,122610000,122810000
156,2,233160000,233540000
157,2,353760000,354000000
158,2,0,380000
159,2,196980000,197450000
160,2,90450000,90820000
161,2,166830000,167130000
162,2,243210000,243470000
163,2,311550000,312000000
164,2,78390000,78750000
165,2,227130000,227530000
166,2,309540000,310000000
167,2,0,350000
168,2,68340000,68660000
169,2,166830000,167050000
170,2,347730000,347990000
171,2,48240000,48320000
172,2,307530000,307650000
173,2,241200000,241500000
174,2,188940000,189190000
175,2,203010000,203220000
176,2,247230000,247480000
177,2,0,130000
178,2,94470000,94860000
179,2,138690000,138920000
