,chr,x1,x2
0,1,371850000,372000000
1,1,66330000,66590000
2,1,116580000,117020000
3,1,303510000,304000000
4,1,102510000,102750000
5,1,345720000,346000000
6,1,259290000,259640000
7,1,343710000,344000000
8,1,62310000,62720000
9,1,0,300000
10,1,349740000,350000000
11,1,243210000,243570000
12,1,182910000,183200000
13,1,166830000,166980000
14,1,259290000,259600000
15,1,196980000,197280000
16,1,194970000,195160000
17,1,144720000,144960000
18,1,325620000,326000000
19,1,110550000,110830000
20,1,168840000,169090000
21,1,327630000,328000000
22,1,259290000,259550000
23,1,331650000,332000000
24,1,383910000,384000000
25,1,261300000,261550000
26,1,102510000,102990000
27,1,201000000,201480000
28,1,247230000,247550000
29,1,231150000,231470000
30,1,331650000,332000000
31,1,138690000,138990000
32,1,333660000,334000000
33,1,106530000,106820000
34,1,263310000,263500000
35,1,211050000,211230000
36,1,192960000,193230000
37,1,86430000,86780000
38,1,122610000,122890000
39,1,337680000,338000000
40,1,116580000,116920000
41,1,118590000,118980000
42,1,219090000,219310000
43,1,188940000,189210000
44,1,337680000,338000000
45,1,323610000,324000000
46,1,0,580000
47,1,118590000,119140000
48,1,281400000,282000000
49,1,203010000,203310000
50,1,68340000,68590000
51,1,347730000,348000000
52,1,98490000,98810000
53,1,164820000,165160000
54,1,215070000,215380000
55,1,325620000,326000000
56,1,261300000,261530000
57,1,138690000,139340000
58,1,104520000,104940000
59,1,190950000,191240000
60,1,0,220000
61,1,134670000,134950000
62,1,235170000,235470000
63,1,188940000,189230000
64,1,341700000,342000000
65,1,0,300000
66,1,333660000,334000000
67,1,331650000,332000000
68,1,182910000,183250000
69,1,104520000,104870000
70,1,335670000,336000000
71,1,0,490000
72,1,0,250000
73,1,279390000,279480000
74,1,277380000,277590000
75,1,70350000,71600000
76,1,353760000,354000000
77,1,0,190000
78,1,251250000,251460000
79,1,184920000,185150000
80,1,62310000,62580000
81,1,118590000,118890000
82,1,180900000,181130000
83,1,217080000,217180000
84,1,345720000,346000000
85,1,90450000,90800000
86,1,315570000,316000000
87,1,237180000,237510000
88,1,269340000,269510000
89,1,128640000,128910000
90,1,239190000,239370000
91,1,0,200000
92,1,144720000,144980000
93,1,0,320000
94,1,359790000,360000000
95,1,168840000,169140000
96,1,231150000,231420000
97,1,337680000,338000000
98,1,223110000,223370000
99,1,88440000,88730000
100,1,205020000,205340000
101,1,0,390000
102,1,136680000,137050000
103,1,213060000,213460000
104,1,307530000,308000000
105,1,102510000,102830000
106,1,367830000,368000000
107,1,261300000,261490000
108,1,156780000,157210000
109,1,341700000,342000000
110,1,108540000,108810000
111,1,339690000,340000000
112,1,371850000,372000000
113,1,0,620000
114,1,126630000,127240000
115,1,0,440000
116,1,92460000,92500000
117,1,323610000,324000000
118,1,377880000,378000000
119,1,323610000,324000000
120,1,237180000,237630000
121,1,329640000,330000000
122,1,275370000,275680000
123,1,355770000,356000000
124,1,287430000,288000000
125,1,253260000,253650000
126,1,333660000,334000000
127,1,0,250000
128,1,225120000,225490000
129,1,174870000,175110000
130,1,241200000,241490000
131,1,198990000,199230000
132,1,130650000,130930000
133,1,223110000,223230000
134,2,134670000,135130000
135,2,345720000,346000000
136,2,96480000,96800000
137,2,188940000,189220000
138,2,257280000,257550000
139,2,116580000,116820000
140,2,138690000,139150000
141,2,351750000,352000000
142,2,140700000,140940000
143,2,311550000,312000000
144,2,110550000,110840000
145,2,317580000,318000000
146,2,213060000,213450000
147,2,251250000,251590000
148,2,235170000,235440000
149,2,0,360000
150,2,0,300000
151,2,112560000,112910000
152,2,265320000,265610000
153,2,217080000,217470000
154,2,309540000,310000000
155,2,357780000,358000000
156,2,351750000,352000000
157,2,229140000,229550000
158,2,0,330000
159,2,146730000,147310000
160,2,227130000,227480000
161,2,0,320000
162,2,351750000,352000000
163,2,144720000,145210000
164,2,182910000,183310000
165,2,347730000,348000000
166,2,112560000,112790000
167,2,160800000,161110000
168,2,345720000,346000000
169,2,233160000,233560000
170,2,196980000,197100000
171,2,170850000,171130000
172,2,0,430000
173,2,84420000,84850000
174,2,247230000,247470000
175,2,170850000,171130000
176,2,88440000,88730000
177,2,86430000,86650000
178,2,154770000,155010000
179,2,98490000,98780000
180,2,0,530000
181,2,46230000,46320000
182,2,327630000,327780000
183,2,241200000,241480000
184,2,203010000,203220000
185,2,0,130000
186,2,215070000,215350000
187,2,114570000,115090000
188,2,321600000,322000000
189,2,0,160000
190,2,271350000,271540000
191,2,269340000,269490000
192,2,0,240000
193,2,241200000,241470000
194,2,154770000,154960000
195,2,110550000,110760000
196,2,217080000,217430000
197,2,154770000,155340000
198,2,0,390000
199,2,309540000,310000000
200,2,124620000,124820000
201,2,201000000,201420000
202,2,343710000,344000000
203,2,235170000,235510000
204,2,319590000,320000000
205,2,229140000,229570000
206,2,327630000,328000000
207,2,0,340000
208,2,120600000,120890000
209,2,211050000,211450000
210,2,138690000,139260000
211,2,269340000,269470000
212,2,178890000,179020000
213,2,0,470000
214,2,0,170000
215,2,112560000,112870000
216,2,184920000,185160000
217,2,198990000,199190000
218,2,188940000,189330000
219,2,148740000,149030000
220,2,359790000,360000000
221,2,357780000,358000000
222,2,319590000,320000000
223,2,0,250000
224,2,108540000,108960000
225,2,128640000,128940000
226,2,190950000,191320000
227,2,128640000,128970000
228,2,0,400000
229,2,317580000,318000000
230,2,219090000,219450000
231,2,227130000,227340000
232,2,0,340000
233,2,70350000,70720000
234,2,0,290000
235,2,82410000,82660000
236,2,102510000,102850000
237,2,327630000,328000000
238,2,130650000,131160000
239,2,353760000,354000000
240,2,128640000,129060000
241,2,215070000,215410000
242,2,164820000,165020000
243,2,70350000,70590000
244,2,166830000,167080000
245,2,219090000,219290000
246,2,122610000,123000000
247,2,203010000,203430000
248,2,235170000,235580000
249,2,162810000,162970000
250,2,275370000,275540000
251,2,116580000,116910000
252,2,98490000,98860000
253,2,108540000,108820000
254,2,307530000,308000000
255,2,122610000,122850000
256,2,0,320000
257,2,66330000,66670000
258,2,293460000,294000000
259,2,134670000,135180000
260,2,98490000,98690000
261,2,0,350000
262,2,120600000,120820000
263,3,12060000,12450000
264,3,170850000,171220000
265,3,68340000,68680000
266,3,172860000,173430000
267,3,140700000,141000000
268,3,92460000,92690000
269,3,221100000,221390000
270,3,118590000,119040000
271,3,211050000,211510000
272,3,0,210000
273,3,0,290000
274,3,60300000,60620000
275,3,215070000,215370000
276,3,0,240000
277,3,192960000,193220000
278,3,329640000,330000000
279,3,231150000,231330000
280,3,92460000,92860000
281,3,315570000,316000000
282,3,0,190000
283,3,229140000,229420000
284,3,146730000,146900000
285,3,152760000,153020000
286,3,219090000,219440000
287,3,211050000,211400000
288,3,118590000,118960000
289,3,192960000,193410000
290,3,0,220000
291,3,76380000,76690000
292,3,0,230000
293,3,229140000,229380000
294,3,92460000,92850000
295,3,118590000,119020000
296,3,309540000,310000000
297,3,108540000,108780000
298,3,188940000,189360000
299,3,363810000,364000000
300,3,0,490000
301,3,0,160000
302,3,186930000,187130000
303,3,347730000,348000000
304,3,178890000,179130000
305,3,337680000,337760000
306,3,211050000,211370000
307,3,140700000,141100000
308,3,156780000,157240000
309,3,317580000,318000000
310,3,142710000,143260000
311,3,0,230000
312,3,50250000,50350000
313,3,339690000,339800000
314,3,243210000,243510000
315,3,110550000,110980000
316,3,104520000,104720000
317,3,259290000,259490000
318,3,0,370000
319,3,194970000,195300000
320,3,219090000,219360000
321,3,257280000,257550000
322,3,0,190000
323,3,369840000,370000000
324,3,0,270000
325,3,108540000,108910000
326,3,96480000,96720000
327,3,112560000,112960000
